,Language: - English,Unnamed: 1
0,Right to Free and Compulsory Education (Article 21A),Every child between the ages of 6 and 14 has the right to free and compulsory elementary education (Grades 1-8) in a neighborhood school.
1,Neighborhood School (Section 8),Children have the right to attend a school within a reasonable distance from their home.
2,Free and Compulsory Admission (Section 12),"Schools cannot refuse admission to any child within the age group of 6-14, even if they cannot afford fees or lack documentation."
3,No Capitation Fees or Donations (Section 28),"Schools cannot charge any capitation fees, admission fees, or donations for admission to class 1."
4,25% Reservation for Children from Disadvantaged Groups (Section 12(1)(c)),"Private schools must reserve 25% of their seats for children from disadvantaged groups (scheduled castes, scheduled tribes, other backward classes, minorities, and children with disabilities)."
5,Free and Compulsory Transfer Certificate (Section 16),Schools must issue free transfer certificates to children if they need to change schools.
6,Qualified Teachers (Section 23),All schools must have qualified teachers for each subject as per government standards.
7,Mid-day Meal (Section 24),All children in government and government-aided schools are entitled to a free and nutritious mid-day meal.
8,Special Needs Education (Section 28),"Children with disabilities have the right to inclusive education in regular schools or special schools, depending on their needs."
9,No Corporal Punishment (Section 17),Schools are prohibited from inflicting any form of corporal punishment on children.
10,Complaint Mechanism (Section 21),"If any of the rights under the RTE Act are violated, parents or children can file a complaint with the school management committee or the appropriate government authority."
11,,
12,Language: - Hindi,
13,निःशुल्क और अनिवार्य शिक्षा का अधिकार (अनुच्छेद 21ए), 6 से 14 वर्ष की आयु के प्रत्येक बच्चे को पड़ोस के स्कूल में निःशुल्क और अनिवार्य प्रारंभिक शिक्षा (कक्षा 1-8) का अधिकार है।
14,पड़ोस का स्कूल (धारा 8) ,बच्चों को अपने घर से उचित दूरी के भीतर एक स्कूल में जाने का अधिकार है।
15,नि:शुल्क और अनिवार्य प्रवेश (धारा 12) ,"स्कूल 6-14 आयु वर्ग के किसी भी बच्चे को प्रवेश देने से इनकार नहीं कर सकते, भले ही वे फीस वहन न कर सकें या उनके पास दस्तावेज न हों।"
16,कोई कैपिटेशन शुल्क या दान नहीं (धारा 28)," स्कूल कक्षा 1 में प्रवेश के लिए कोई कैपिटेशन शुल्क, प्रवेश शुल्क या दान नहीं ले सकते।"
17,वंचित समूहों के बच्चों के लिए 25% आरक्षण (धारा 12(1)(सी)) ,"निजी स्कूलों को अपनी 25% सीटें वंचित समूहों (अनुसूचित जाति, अनुसूचित जनजाति, अन्य पिछड़ा वर्ग, अल्पसंख्यक और विकलांग बच्चों) के बच्चों के लिए आरक्षित करनी होंगी। ."
18,नि:शुल्क और अनिवार्य स्थानांतरण प्रमाणपत्र (धारा 16) ,यदि बच्चों को स्कूल बदलने की आवश्यकता हो तो स्कूलों को उन्हें नि:शुल्क स्थानांतरण प्रमाणपत्र जारी करना होगा।
19,योग्य शिक्षक (धारा 23) ,सभी स्कूलों में सरकारी मानकों के अनुसार प्रत्येक विषय के लिए योग्य शिक्षक होने चाहिए।
20,मध्याह्न भोजन (धारा 24) ,सरकारी और सरकारी सहायता प्राप्त स्कूलों के सभी बच्चे मुफ्त और पौष्टिक मध्याह्न भोजन के हकदार हैं।
21,विशेष आवश्यकता शिक्षा (धारा 28) ,विकलांग बच्चों को उनकी आवश्यकताओं के आधार पर नियमित स्कूलों या विशेष स्कूलों में समावेशी शिक्षा का अधिकार है।
22,कोई शारीरिक दंड नहीं (धारा 17), स्कूलों को बच्चों को किसी भी प्रकार का शारीरिक दंड देने से प्रतिबंधित किया गया है।
23,शिकायत तंत्र (धारा 21)," यदि आरटीई अधिनियम के तहत किसी भी अधिकार का उल्लंघन होता है, तो माता-पिता या बच्चे स्कूल प्रबंधन समिति या उपयुक्त सरकारी प्राधिकरण के पास शिकायत दर्ज कर सकते हैं।"
