Language: - Hindi,Unnamed: 1
निःशुल्क और अनिवार्य शिक्षा का अधिकार (अनुच्छेद 21ए), 6 से 14 वर्ष की आयु के प्रत्येक बच्चे को पड़ोस के स्कूल में निःशुल्क और अनिवार्य प्रारंभिक शिक्षा (कक्षा 1-8) का अधिकार है।
पड़ोस का स्कूल (धारा 8) ,बच्चों को अपने घर से उचित दूरी के भीतर एक स्कूल में जाने का अधिकार है।
नि:शुल्क और अनिवार्य प्रवेश (धारा 12) ,"स्कूल 6-14 आयु वर्ग के किसी भी बच्चे को प्रवेश देने से इनकार नहीं कर सकते, भले ही वे फीस वहन न कर सकें या उनके पास दस्तावेज न हों।"
कोई कैपिटेशन शुल्क या दान नहीं (धारा 28)," स्कूल कक्षा 1 में प्रवेश के लिए कोई कैपिटेशन शुल्क, प्रवेश शुल्क या दान नहीं ले सकते।"
वंचित समूहों के बच्चों के लिए 25% आरक्षण (धारा 12(1)(सी)) ,"निजी स्कूलों को अपनी 25% सीटें वंचित समूहों (अनुसूचित जाति, अनुसूचित जनजाति, अन्य पिछड़ा वर्ग, अल्पसंख्यक और विकलांग बच्चों) के बच्चों के लिए आरक्षित करनी होंगी। ."
नि:शुल्क और अनिवार्य स्थानांतरण प्रमाणपत्र (धारा 16) ,यदि बच्चों को स्कूल बदलने की आवश्यकता हो तो स्कूलों को उन्हें नि:शुल्क स्थानांतरण प्रमाणपत्र जारी करना होगा।
योग्य शिक्षक (धारा 23) ,सभी स्कूलों में सरकारी मानकों के अनुसार प्रत्येक विषय के लिए योग्य शिक्षक होने चाहिए।
मध्याह्न भोजन (धारा 24) ,सरकारी और सरकारी सहायता प्राप्त स्कूलों के सभी बच्चे मुफ्त और पौष्टिक मध्याह्न भोजन के हकदार हैं।
विशेष आवश्यकता शिक्षा (धारा 28) ,विकलांग बच्चों को उनकी आवश्यकताओं के आधार पर नियमित स्कूलों या विशेष स्कूलों में समावेशी शिक्षा का अधिकार है।
कोई शारीरिक दंड नहीं (धारा 17), स्कूलों को बच्चों को किसी भी प्रकार का शारीरिक दंड देने से प्रतिबंधित किया गया है।
शिकायत तंत्र (धारा 21)," यदि आरटीई अधिनियम के तहत किसी भी अधिकार का उल्लंघन होता है, तो माता-पिता या बच्चे स्कूल प्रबंधन समिति या उपयुक्त सरकारी प्राधिकरण के पास शिकायत दर्ज कर सकते हैं।"
